"","dateB","difficulty","hashrate","price","revenue","bitcoin"
"592",2018-08-15,6389316883512,51135961.0695928,6189.97,13104013.770886,0.000161551671494369
"593",2018-08-16,6389316883512,50183117.0745072,6270.67,12659503.8533433,0.000159472592242934
"594",2018-08-17,6389316883512,48277429.084336,6312.75,12438186.3901863,0.000158409567937903
"595",2018-08-18,6389316883512,50818346.4045642,6577.74,13176949.401446,0.000152027900160237
"596",2018-08-19,6389316883512,46054126.4291363,6394.18,11859087.978662,0.000156392219174312
"597",2018-08-20,6389316883512,47642199.754279,6486.58,12603282.3247694,0.000154164444129264
"598",2018-08-21,6389316883512,47006970.4242219,6262.64,11982908.8447179,0.000159677069095461
"599",2018-08-22,6389316883512,50818346.4045642,6472.41,13754538.29512,0.000154501955222243
"600",2018-08-23,6389316883512,47324585.0892504,6354.57,12091834.7282683,0.000157367060241684
"601",2018-08-24,6505039002077.41,47211617.4407006,6525.96,12238689.2251961,0.000153234160184862
"602",2018-08-25,6727225469723,45145645.9144977,6691.39,11462792.4453193,0.00014944578032367
"603",2018-08-26,6727225469723,57853309.2089489,6738.27,14782108.510734,0.00014840604487502
"604",2018-08-27,6727225469723,61866255.5124598,6707.96,16066331.7938682,0.000149076619419317
"605",2018-08-28,6727225469723,51165065.369764,6901.26,13671393.3547545,0.000144901076035391
"606",2018-08-29,6727225469723,46483294.6823347,7078.19,12427793.5368428,0.000141279055803814
"607",2018-08-30,6727225469723,51499477.5617233,7032.13,13524159.9511415,0.000142204424548465
"608",2018-08-31,6727225469723,51833889.7536825,6986.54,13715513.6566594,0.000143132365949383
"609",2018-09-01,6727225469723,50496240.9858456,7018.78,13547550.913617,0.000142474903045828
"610",2018-09-02,6727225469723,48155355.6421309,7197.43,13150417.7856014,0.000138938482208233
"611",2018-09-03,6727225469723,48155355.6421309,7291.84,13221829.9042709,0.000137139597138719
"612",2018-09-04,6727225469723,42135936.1868645,7265.08,11701743.2339903,0.000137644733437209
"613",2018-09-05,6727225469723,44142409.33862,7359.19,11985554.4900887,0.000135884519899609
"614",2018-09-06,6727225469723,50161828.7938863,6695.32,12250781.5532615,0.000149358059062151
"615",2018-09-07,6971177230937.86,52673943.1674501,6501.19,12582725.3198711,0.000153817993321223
"616",2018-09-08,7019199231177,52338942.9548846,6399.85,12048687.1478142,0.000156253662195208
"617",2018-09-09,7019199231177,56874984.6776413,6184.06,13080457.3585849,0.000161706063653975
"618",2018-09-10,7019199231177,47105048.6593962,6240.98,10889256.6129215,0.000160231245733843
"619",2018-09-11,7019199231177,49198606.3775916,6306.59,11243962.7129766,0.000158564295443338
"620",2018-09-12,7019199231177,58619616.1094708,6283.54,13463775.4691272,0.000159145959124952
"621",2018-09-13,7019199231177,51641090.3821529,6326.04,12034014.0992328,0.00015807677472795
"622",2018-09-14,7019199231177,46058269.8002985,6479.6,11020990.7438311,0.000154330514229273
"623",2018-09-15,7019199231177,48849680.0912257,6487.12,11500218.9046532,0.00015415161119264
"624",2018-09-16,7019199231177,48500753.8048598,6522.39,11508923.5203562,0.00015331803219372
"625",2018-09-17,7019199231177,47105048.6593962,6497.37,10885340.8378286,0.000153908427563768
"626",2018-09-18,7019199231177,49547532.6639575,6253.99,11443545.954193,0.000159897921167127
"627",2018-09-19,7019199231177,54432500.67308,6342.39,13390617.4929546,0.000157669269786311
"628",2018-09-20,7031329605788.73,53827510.7460175,6389.3,12451118.6507425,0.000156511667944845
"629",2018-09-21,7152633351906,51200543.8778585,6496.02,12165754.7145117,0.000153940412745035
"630",2018-09-22,7152633351906,55111696.535195,6756.12,13446563.414452,0.000148013948834538
"631",2018-09-23,7152633351906,53333899.8727693,6718.7,12664817.2593975,0.000148838316936312
"632",2018-09-24,7152633351906,52622781.2077991,6705.66,12554837.9484404,0.00014912775177984
"633",2018-09-25,7152633351906,60089527.1899868,6583.45,14010771.0450735,0.000151896042348617
"634",2018-09-26,7152633351906,49422747.2154329,6432.71,11668565.4156512,0.000155455476774174
"635",2018-09-27,7152633351906,50844984.5453734,6459.35,11811663.0811172,0.000154814338904069
"636",2018-09-28,7152633351906,54756137.2027098,6686.08,13204326.5707306,0.000149564468268402
"637",2018-09-29,7152633351906,54045018.5377396,6628.66,12553831.9780196,0.000150860053163083
"638",2018-09-30,7152633351906,57956171.195076,6592.64,13520452.4014684,0.000151684302494903
"639",2018-10-01,7152633351906,56178374.5326503,6611.02,13302756.841859,0.000151262588828955
"640",2018-10-02,7152633351906,48711628.5504627,6586.58,11376483.8858544,0.000151823860030547
"641",2018-10-03,7152633351906,51556103.2103437,6521.31,12003041.5148518,0.000153343423330588
"642",2018-10-04,7364268059355.9,54911962.6283177,6483.73,12562461.6316862,0.00015423220892912
"643",2018-10-05,7454968648263,48176505.2061266,6568.14,10781240.5783847,0.000152250104291321
"644",2018-10-06,7454968648263,46323562.6981987,6620.63,10527206.7148305,0.00015104302762728
"645",2018-10-07,7454968648263,52623567.2251537,6573.62,12012909.058277,0.000152123183268884
"646",2018-10-08,7454968648263,50029447.7140546,6588.93,11390596.3257734,0.000151769710711754
